COMMON_NAME,SPECIES_CODE
Mindanao Boobook,minboo1
Mindoro Boobook,minboo2
Romblon Boobook,romboo1
Cebu Boobook,cebboo1
Camiguin Boobook,camboo1
Sulu Boobook,sulboo1
Ochre-bellied Boobook,ocbhao1
Togian Boobook,toghao1
Cinnabar Boobook,cinhao1
Halmahera Boobook,molhao3
Tanimbar Boobook,molhao2
Hantu Boobook,molhao4
Christmas Island Boobook,chihao1
Papuan Boobook,junhao1
Manus Boobook,manhao1
Speckled Boobook,spehao1
Bismarck Boobook,bishao1
New Britain Boobook,nebhao1
Solomons Boobook,solhao1
Papuan Owl,paphao1
Laughing Owl,lauowl1
Tawny Frogmouth,tawfro1
Marbled Frogmouth,marfro1
Papuan Frogmouth,papfro1
Solomons Frogmouth,soifro1
Large Frogmouth,larfro1
Dulit Frogmouth,dulfro1
Philippine Frogmouth,phifro1
Gould's Frogmouth,goufro1
Sri Lanka Frogmouth,ceyfro1
Hodgson's Frogmouth,hodfro1
Short-tailed Frogmouth,shtfro1
Javan Frogmouth,javfro3
Blyth's Frogmouth,javfro2
Palawan Frogmouth,palfro1
Sunda Frogmouth,sunfro1
Spotted Nightjar,sponig1
Solomons Nightjar,solnig1
New Caledonian Nightjar,necnig2
White-throated Nightjar,whtnig3
Diabolical Nightjar,dianig1
Papuan Nightjar,papnig1
Archbold's Nightjar,arcnig1
Malaysian Nightjar,malnig1
Great Eared-Nightjar,grenig1
Collared Nightjar,colnig1
Nacunda Nighthawk,nacnig1
Least Nighthawk,leanig1
Sand-colored Nighthawk,sacnig1
Lesser Nighthawk,lesnig
Common Nighthawk,comnig
Antillean Nighthawk,antnig
Short-tailed Nighthawk,shtnig1
Rufous-bellied Nighthawk,rubnig1
Band-tailed Nighthawk,batnig1
Bahian Nighthawk,bahnig1
Blackish Nightjar,blanig1
Pygmy Nightjar,pygnig1
Band-winged Nightjar,bawnig1
Tschudi's Nightjar,bawnig3
Common Pauraque,compau
Scrub Nightjar,scrnig1
White-winged Nightjar,whwnig1
Sickle-winged Nightjar,siwnig1
Swallow-tailed Nightjar,swtnig1
Lyre-tailed Nightjar,lytnig1
Todd's Nightjar,samnig1
Little Nightjar,litnig1
Roraiman Nightjar,rornig1
Cayenne Nightjar,caynig1
White-tailed Nightjar,whtnig1
Spot-tailed Nightjar,sptnig1
Ladder-tailed Nightjar,latnig1
Scissor-tailed Nightjar,sctnig2
Long-trained Nightjar,lotnig2
Jamaican Pauraque,jampau
Least Pauraque,leapau1
Eared Poorwill,earpoo1
Yucatan Poorwill,yucpoo1
Ocellated Poorwill,ocepoo1
Choco Poorwill,chopoo1
Common Poorwill,compoo
Chuck-will's-widow,chwwid
Rufous Nightjar,rufnig1
Greater Antillean Nightjar,granig1
Tawny-collared Nightjar,tacnig1
Yucatan Nightjar,yucnig1
Silky-tailed Nightjar,sitnig1
Buff-collared Nightjar,bucnig
Eastern Whip-poor-will,whip-p1
Dusky Nightjar,dusnig1
Mexican Whip-poor-will,souwpw1
Puerto Rican Nightjar,purnig1
Pennant-winged Nightjar,pewnig1
Standard-winged Nightjar,stwnig1
Brown Nightjar,bronig1
Red-necked Nightjar,rennig1
Jungle Nightjar,grynig2
Gray Nightjar,grynig1
Palau Nightjar,palnig1
Eurasian Nightjar,eurnig1
Sombre Nightjar,somnig1
Rufous-cheeked Nightjar,rucnig1
Egyptian Nightjar,egynig1
Nubian Nightjar,nubnig1
Sykes's Nightjar,syknig1
Vaurie's Nightjar,vaunig1
Golden Nightjar,golnig1
Large-tailed Nightjar,latnig2
Andaman Nightjar,andnig1
Mees's Nightjar,meenig1
Jerdon's Nightjar,jernig1
Philippine Nightjar,phinig1
Sulawesi Nightjar,sulnig1
Donaldson-Smith's Nightjar,dosnig1
Black-shouldered Nightjar,bksnig1
Fiery-necked Nightjar,finnig1
Abyssinian Nightjar,abynig1
Montane Nightjar,monnig2
Indian Nightjar,indnig1
Madagascar Nightjar,madnig1
Swamp Nightjar,swanig1
Plain Nightjar,planig1
Star-spotted Nightjar,stsnig1
Nechisar Nightjar,necnig1
Savanna Nightjar,savnig1
Freckled Nightjar,frenig1
Bonaparte's Nightjar,bonnig1
Salvadori's Nightjar,salnig1
Itombwe Nightjar,itonig1
Bates's Nightjar,batnig2
Long-tailed Nightjar,lotnig1
Slender-tailed Nightjar,sltnig1
Square-tailed Nightjar,sqtnig1
Great Potoo,grepot1
Long-tailed Potoo,lotpot1
Common Potoo,compot1
Northern Potoo,norpot1
Andean Potoo,andpot1
White-winged Potoo,whwpot1
Rufous Potoo,rufpot1
Oilbird,oilbir1
New Caledonian Owlet-nightjar,nconig1
Feline Owlet-nightjar,feonig1
Starry Owlet-nightjar,spaown1
Wallace's Owlet-nightjar,waonig1
Archbold's Owlet-nightjar,aronig1
Mountain Owlet-nightjar,moonig1
Moluccan Owlet-nightjar,molown1
Australian Owlet-nightjar,auonig1
Vogelkop Owlet-nightjar,barown2
Barred Owlet-nightjar,barown1
Black Swift,blkswi
White-chested Swift,whcswi2
Rothschild's Swift,rotswi1
Sooty Swift,sooswi1
White-fronted Swift,whfswi1
White-chinned Swift,whcswi1
Spot-fronted Swift,spfswi1
Great Dusky Swift,grdswi1
Chestnut-collared Swift,chcswi1
Tepui Swift,tepswi1
White-collared Swift,whcswi
White-naped Swift,whnswi1
Biscutate Swift,bisswi1
Philippine Spinetailed Swift,phinee1
Papuan Spinetailed Swift,papnee1
Malagasy Spinetail,malspi1
Sao Tome Spinetail,satspi1
White-rumped Needletail,whrnee1
Mottled Spinetail,motspi1
Black Spinetail,blaspi1
Silver-rumped Needletail,sirnee1
Sabine's Spinetail,sabspi1
Cassin's Spinetail,casspi1
Bat-like Spinetail,balspi1
Chimney Swift,chiswi
Vaux's Swift,vauswi
Chapman's Swift,chaswi1
Amazonian Swift,amaswi1
Sick's Swift,sicswi1
Short-tailed Swift,shtswi1
Band-rumped Swift,barswi
Costa Rican Swift,corswi
Gray-rumped Swift,grrswi1
Pale-rumped Swift,parswi1
Lesser Antillean Swift,leaswi1
White-throated Needletail,whtnee
Silver-backed Needletail,sibnee1
Brown-backed Needletail,brbnee1
Purple Needletail,purnee1
Waterfall Swift,watswi1
Pygmy Swiftlet,pygswi2
Bornean Swiftlet,cavswi3
Christmas Island Swiftlet,chiswi1
Cave Swiftlet,cavswi2
Plume-toed Swiftlet,pltswi1
Gray-rumped Swiftlet,gyrswi5
Ridgetop Swiftlet,ridswi1
Tenggara Swiftlet,tenswi1
Drab Swiftlet,draswi1
Glossy Swiftlet,gloswi1
Satin Swiftlet,satswi1
Seychelles Swiftlet,seyswi1
Mascarene Swiftlet,masswi1
Indian Swiftlet,indswi1
Sulawesi Swiftlet,molswi4
Halmahera Swiftlet,molswi3
Seram Swiftlet,molswi1
Philippine Swiftlet,phiswi1
Mountain Swiftlet,mouswi2
White-rumped Swiftlet,whrswi2
Australian Swiftlet,ausswi1
Himalayan Swiftlet,himswi2
Volcano Swiftlet,volswi1
Whitehead's Swiftlet,whiswi1
Bare-legged Swiftlet,balswi1
Mayr's Swiftlet,mayswi1
Ameline Swiftlet,palswi2
Uniform Swiftlet,uniswi1
Mossy-nest Swiftlet,monswi2
Palau Swiftlet,palswi1
Mariana Swiftlet,marswi
Caroline Islands Swiftlet,caiswi1
Atiu Swiftlet,atiswi1
Polynesian Swiftlet,polswi1
Marquesan Swiftlet,marswi2
Black-nest Swiftlet,blnswi1
White-nest Swiftlet,ednswi1
Germain's Swiftlet,gerswi1
Three-toed Swiftlet,papswi1
Scarce Swift,scaswi1
Schouteden's Swift,schswi1
Alpine Swift,alpswi1
Mottled Swift,motswi2
Alexander's Swift,aleswi1
Common Swift,comswi
Plain Swift,plaswi1
Nyanza Swift,nyaswi1
Pallid Swift,palswi3
African Swift,afrswi1
Forbes-Watson's Swift,fowswi1
Bradfield's Swift,braswi1
Madagascar Swift,madswi1
Pacific Swift,fotswi
Salim Ali's Swift,saaswi1
Blyth's Swift,blyswi1
Cook's Swift,cooswi1
Dark-rumped Swift,darswi1
Little Swift,litswi1
House Swift,houswi1
Horus Swift,horswi1
White-rumped Swift,whrswi1
Bates's Swift,batswi1
White-throated Swift,whtswi
White-tipped Swift,whtswi1
Andean Swift,andswi1
Lesser Swallow-tailed Swift,lstswi1
Great Swallow-tailed Swift,gstswi1
Asian Palm-Swift,aspswi1
African Palm-Swift,afpswi1
Antillean Palm-Swift,anpswi
Pygmy Swift,pygswi1
Fork-tailed Palm-Swift,ftpswi1
Crested Treeswift,cretre1
Gray-rumped Treeswift,gyrtre1
Whiskered Treeswift,whitre1
Moustached Treeswift,moutre1
Crimson Topaz,critop1
Fiery Topaz,fietop1
White-necked Jacobin,whnjac1
Black Jacobin,blkjac1
White-tipped Sicklebill,whtsic1
Buff-tailed Sicklebill,butsic1
Saw-billed Hermit,sabher1
Hook-billed Hermit,hobher2
Bronzy Hermit,broher
Rufous-breasted Hermit,rubher
Band-tailed Barbthroat,batbar1
Pale-tailed Barbthroat,patbar1
Sooty Barbthroat,soobar1
Broad-tipped Hermit,brther2
White-bearded Hermit,whbher1
White-whiskered Hermit,whwher1
Green Hermit,greher1
Tawny-bellied Hermit,tabher1
Koepcke's Hermit,koeher1
Needle-billed Hermit,nebher1
Straight-billed Hermit,stbher1
Long-billed Hermit,lobher
Mexican Hermit,mexher1
Long-tailed Hermit,lother1
Great-billed Hermit,grbher1
Pale-bellied Hermit,pabher1
Dusky-throated Hermit,duther1
Streak-throated Hermit,stther1
Little Hermit,lither2
Tapajos Hermit,lither3
Minute Hermit,minher1
Cinnamon-throated Hermit,cither1
Black-throated Hermit,bkther1
Stripe-throated Hermit,stther2
Gray-chinned Hermit,gycher1
Reddish Hermit,redher1
White-browed Hermit,whbher3
Buff-bellied Hermit,bubher1
Sooty-capped Hermit,socher1
Planalto Hermit,plaher1
Scale-throated Hermit,scther1
Green-fronted Lancebill,grflan1
Blue-fronted Lancebill,blflan1
Wedge-billed Hummingbird,webhum2
Hyacinth Visorbearer,hyavis1
Hooded Visorbearer,hoovis2
Brown Violetear,brvear1
Mexican Violetear,grnvie1
Lesser Violetear,lesvio1
Sparkling Violetear,spvear1
White-vented Violetear,wvvear1
Tooth-billed Hummingbird,tobhum1
Horned Sungem,horsun2
Purple-crowned Fairy,pucfai1
Black-eared Fairy,bkefai1
White-tailed Goldenthroat,whtgol1
Tepui Goldenthroat,tepgol1
Green-tailed Goldenthroat,grtgol1
Fiery-tailed Awlbill,fitawl1
Ruby-topaz Hummingbird,ruthum1
Green-throated Mango,grtman1
Green-breasted Mango,gnbman
Black-throated Mango,bltman1
Veraguan Mango,verman1
Antillean Mango,antman1
Green Mango,greman1
Jamaican Mango,jamman1
Purple-throated Carib,putcar1
Green-throated Carib,grtcar1
Orange-throated Sunangel,ortsun1
Amethyst-throated Sunangel,amtsun1
Gorgeted Sunangel,gorsun1
Tourmaline Sunangel,tousun1
Little Sunangel,litsun1
Purple-throated Sunangel,putsun1
Bogota Sunangel,bogsun2
Royal Sunangel,roysun1
Green-backed Firecrown,grbfir1
Juan Fernandez Firecrown,juffir1
Wire-crested Thorntail,wictho2
Black-bellied Thorntail,bkbtho1
Coppery Thorntail,coptho2
Green Thorntail,gretho1
Racket-tailed Coquette,ratcoq2
Tufted Coquette,tufcoq1
Dot-eared Coquette,doecoq1
Frilled Coquette,fricoq1
Short-crested Coquette,shccoq
Rufous-crested Coquette,ruccoq1
Spangled Coquette,spacoq1
Festive Coquette,fescoq1
Peacock Coquette,peacoq1
Black-crested Coquette,blccoq1
White-crested Coquette,whccoq1
Ecuadorian Piedtail,ecupie1
Peruvian Piedtail,perpie1
Speckled Hummingbird,spehum1
Santa Marta Blossomcrown,samblo1
Tolima Blossomcrown,tolblo1
Long-tailed Sylph,lotsyl1
Violet-tailed Sylph,vitsyl1
Venezuelan Sylph,vensyl1
Red-tailed Comet,retcom1
Bronze-tailed Comet,brtcom1
Gray-bellied Comet,gybcom1
Ecuadorian Hillstar,ecuhil1
Andean Hillstar,andhil1
White-sided Hillstar,whshil1
Black-breasted Hillstar,blbhil1
Wedge-tailed Hillstar,wethil1
Mountain Avocetbill,mouavo1
Black-tailed Trainbearer,blttra1
Green-tailed Trainbearer,grttra1
Black-backed Thornbill,blbtho1
Purple-backed Thornbill,pubtho1
Rufous-capped Thornbill,ructho1
Olivaceous Thornbill,olitho1
Blue-mantled Thornbill,blmtho1
Bronze-tailed Thornbill,brttho1
Rainbow-bearded Thornbill,rabtho1
Buffy Helmetcrest,bufhel1
Blue-bearded Helmetcrest,bubhel1
White-bearded Helmetcrest,whbhel1
Green-bearded Helmetcrest,gnbhel1
Bearded Mountaineer,beamou1
Perija Metaltail,permet1
Tyrian Metaltail,tyrmet1
Viridian Metaltail,virmet1
Violet-throated Metaltail,vitmet1
Neblina Metaltail,nebmet1
Coppery Metaltail,copmet1
Fire-throated Metaltail,fitmet1
Scaled Metaltail,scamet1
Black Metaltail,blamet1
Greenish Puffleg,grepuf1
Buff-thighed Puffleg,butpuf1
Hoary Puffleg,hoapuf1
Black-breasted Puffleg,blbpuf3
Gorgeted Puffleg,gorpuf1
Glowing Puffleg,glopuf2
Black-thighed Puffleg,bltpuf1
Turquoise-throated Puffleg,tutpuf1
Coppery-bellied Puffleg,cobpuf1
Sapphire-vented Puffleg,savpuf1
Golden-breasted Puffleg,gobpuf1
Blue-capped Puffleg,blcpuf1
Colorful Puffleg,colpuf2
Emerald-bellied Puffleg,embpuf1
Marvelous Spatuletail,marspa1
Shining Sunbeam,shisun1
White-tufted Sunbeam,whtsun1
Purple-backed Sunbeam,pubsun1
Black-hooded Sunbeam,blhsun1
Bronzy Inca,broinc1
Brown Inca,broinc2
Black Inca,blainc1
Collared Inca,colinc1
Violet-throated Starfrontlet,vitsta1
Rainbow Starfrontlet,raista1
White-tailed Starfrontlet,whtsta1
Dusky Starfrontlet,dussta1
Buff-winged Starfrontlet,buwsta1
Golden-bellied Starfrontlet,gobsta1
Blue-throated Starfrontlet,bltsta1
Mountain Velvetbreast,mouvel1
Sword-billed Hummingbird,swbhum1
Great Sapphirewing,gresap1
Buff-tailed Coronet,butcor1
Chestnut-breasted Coronet,chbcor1
Velvet-purple Coronet,vepcor1
Booted Racket-tail,bortai1
White-tailed Hillstar,whthil1
Purple-bibbed Whitetip,pubwhi1
Rufous-vented Whitetip,ruvwhi1
Velvet-browed Brilliant,vebbri1
Pink-throated Brilliant,pitbri1
Rufous-webbed Brilliant,ruwbri1
Black-throated Brilliant,bltbri1
Gould's Jewelfront,goujew1
Fawn-breasted Brilliant,fabbri1
Green-crowned Brilliant,grcbri1
Empress Brilliant,empbri1
Violet-fronted Brilliant,vifbri1
Brazilian Ruby,brarub1
Giant Hummingbird,giahum1
Violet-chested Hummingbird,vichum2
Scissor-tailed Hummingbird,scthum1
Rivoli's Hummingbird,maghum1
Talamanca Hummingbird,maghum2
Long-billed Starthroat,lobsta1
Plain-capped Starthroat,plcsta
Stripe-breasted Starthroat,stbsta1
Blue-tufted Starthroat,bltsta2
Fiery-throated Hummingbird,fithum1
Green-throated Mountain-gem,gtmgem1
Green-breasted Mountain-gem,gbmgem1
Amethyst-throated Hummingbird,amthum1
Blue-throated Hummingbird,buthum
White-bellied Mountain-gem,wbmgem1
Purple-throated Mountain-gem,ptmgem
White-throated Mountain-gem,wtmgem1
Garnet-throated Hummingbird,gathum1
Purple-collared Woodstar,pucwoo1
Chilean Woodstar,chiwoo1
Oasis Hummingbird,oashum1
Peruvian Sheartail,pershe2
White-bellied Woodstar,whbwoo6
Little Woodstar,litwoo5
Gorgeted Woodstar,gorwoo2
Santa Marta Woodstar,samwoo2
Esmeraldas Woodstar,esmwoo2
Rufous-shafted Woodstar,ruswoo1
Short-tailed Woodstar,shtwoo1
Slender-tailed Woodstar,sltwoo1
Slender Sheartail,sleshe1
Mexican Sheartail,mexshe1
Sparkling-tailed Hummingbird,spthum1
Lucifer Hummingbird,luchum
Beautiful Hummingbird,beahum1
Bahama Woodstar,bahwoo
Inagua Woodstar,inawoo2
Magenta-throated Woodstar,matwoo1
Purple-throated Woodstar,putwoo1
Amethyst Woodstar,amewoo1
Ruby-throated Hummingbird,rthhum
Black-chinned Hummingbird,bkchum
Vervain Hummingbird,verhum1
Bee Hummingbird,beehum1
Anna's Hummingbird,annhum
Costa's Hummingbird,coshum
Bumblebee Hummingbird,bumhum
Wine-throated Hummingbird,withum1
Broad-tailed Hummingbird,brthum
Rufous Hummingbird,rufhum
Allen's Hummingbird,allhum
Volcano Hummingbird,volhum1
Glow-throated Hummingbird,glthum1
Scintillant Hummingbird,scihum1
Calliope Hummingbird,calhum
Western Emerald,weseme1
Red-billed Emerald,rebeme1
Blue-tailed Emerald,blteme1
Golden-crowned Emerald,goceme1
Cozumel Emerald,cozeme1
Canivet's Emerald,caneme1
Garden Emerald,gareme1
Chiribiquete Emerald,chieme1
Cuban Emerald,cubeme1
Brace's Emerald,braeme1
Hispaniolan Emerald,hiseme1
Puerto Rican Emerald,pureme1
Glittering-bellied Emerald,glbeme1
Coppery Emerald,copeme1
Narrow-tailed Emerald,nateme2
Green-tailed Emerald,grteme1
Short-tailed Emerald,shteme1
Blue-chinned Sapphire,bucsap1
Dusky Hummingbird,dushum1
Broad-billed Hummingbird,brbhum
Blue-headed Hummingbird,blhhum1
Antillean Crested Hummingbird,anchum1
Violet-headed Hummingbird,vihhum1
Emerald-chinned Hummingbird,emchum1
Green-crowned Plovercrest,plover3
Purple-crowned Plovercrest,plover4
Scaly-breasted Hummingbird,scbhum1
Wedge-tailed Sabrewing,wetsab1
Long-tailed Sabrewing,lotsab1
Gray-breasted Sabrewing,gybsab1
Rufous Sabrewing,rufsab1
Violet Sabrewing,viosab1
Rufous-breasted Sabrewing,rubsab1
White-tailed Sabrewing,whtsab1
Lazuline Sabrewing,lazsab1
Santa Marta Sabrewing,samsab1
Napo Sabrewing,napsab1
Buff-breasted Sabrewing,bubsab1
Swallow-tailed Hummingbird,swthum1
White-vented Plumeleteer,whvplu1
Bronze-tailed Plumeleteer,brtplu1
Mexican Woodnymph,mexwoo1
Crowned Woodnymph,crowoo1
Fork-tailed Woodnymph,fotwoo1
Long-tailed Woodnymph,lotwoo2
Violet-capped Woodnymph,vicwoo2
Stripe-tailed Hummingbird,stthum1
Blue-capped Hummingbird,blchum2
White-tailed Hummingbird,whthum1
Black-bellied Hummingbird,blbhum1
White-tailed Emerald,whteme1
Coppery-headed Emerald,coheme1
Snowcap,snowca1
Sombre Hummingbird,somhum1
Many-spotted Hummingbird,mashum1
White-throated Hummingbird,whthum2
Buffy Hummingbird,bufhum1
Tumbes Hummingbird,tumhum1
Spot-throated Hummingbird,spthum2
Olive-spotted Hummingbird,olshum1
White-bellied Hummingbird,whbhum1
Green-and-white Hummingbird,gawhum1
Chestnut-bellied Hummingbird,chbhum1
Amazilia Hummingbird,amahum1
White-bellied Emerald,whbeme1
Honduran Emerald,honeme1
White-chested Emerald,whceme1
Plain-bellied Emerald,plbeme1
Versicolored Emerald,vereme1
Andean Emerald,andeme1
Glittering-throated Emerald,glteme1
Sapphire-spangled Emerald,saseme1
Blue-chested Hummingbird,blchum1
Charming Hummingbird,chahum1
Purple-chested Hummingbird,puchum1
Mangrove Hummingbird,manhum1
Azure-crowned Hummingbird,azchum1
Berylline Hummingbird,berhum
Blue-tailed Hummingbird,blthum1
Steely-vented Hummingbird,stvhum1
Indigo-capped Hummingbird,inchum1
Snowy-bellied Hummingbird,snbhum1
Green-bellied Hummingbird,grbhum1
Rufous-tailed Hummingbird,rtlhum
Buff-bellied Hummingbird,bubhum
Cinnamon Hummingbird,cinhum1
Violet-crowned Hummingbird,vichum
Green-fronted Hummingbird,grfhum1
Copper-rumped Hummingbird,corhum1
Golden-tailed Sapphire,gotsap1
Pirre Hummingbird,ruchum1
Violet-capped Hummingbird,vichum1
Streamertail,stream1
Sapphire-throated Hummingbird,sathum1
Sapphire-bellied Hummingbird,sabhum1
Shining-green Hummingbird,shghum1
Violet-bellied Hummingbird,vibhum1
Humboldt's Sapphire,humsap2
Blue-throated Goldentail,bltgol1
Rufous-throated Sapphire,rutsap1
White-chinned Sapphire,whcsap1
Gilded Hummingbird,gilhum1
Blue-headed Sapphire,blhsap1
White-eared Hummingbird,whehum
Xantus's Hummingbird,xanhum
Speckled Mousebird,spemou2
White-headed Mousebird,whhmou1
Red-backed Mousebird,rebmou1
White-backed Mousebird,whbmou1
Blue-naped Mousebird,blnmou1
Red-faced Mousebird,refmou1
Cuckoo-Roller,cuckoo1
Eared Quetzal,earque
Pavonine Quetzal,pavque1
Golden-headed Quetzal,gohque1
Resplendent Quetzal,resque1
White-tipped Quetzal,whtque1
Crested Quetzal,creque1
Cuban Trogon,cubtro1
Hispaniolan Trogon,histro1
Lattice-tailed Trogon,lattro1
Slaty-tailed Trogon,slttro1
Blue-tailed Trogon,buttro1
Ecuadorian Trogon,bkttro2
Black-tailed Trogon,blttro1
Black-headed Trogon,blhtro1
Citreoline Trogon,cittro1
White-tailed Trogon,whttro1
Green-backed Trogon,gnbtro1
Baird's Trogon,baitro1
Gartered Trogon,gartro1
Guianan Trogon,viotro2
Amazonian Trogon,viotro3
Blue-crowned Trogon,blctro1
Surucua Trogon,surtro1
Black-throated Trogon,blttro2
Elegant Trogon,eletro
Mountain Trogon,moutro1
Orange-bellied Trogon,orbtro1
Collared Trogon,coltro1
Masked Trogon,mastro1
Narina Trogon,nartro1
Bare-cheeked Trogon,bactro1
Bar-tailed Trogon,battro1
Javan Trogon,javtro1
Sumatran Trogon,sumtro1
Malabar Trogon,maltro1
Red-naped Trogon,rentro1
Diard's Trogon,diatro1
Philippine Trogon,phitro1
Whitehead's Trogon,whitro1
Cinnamon-rumped Trogon,cirtro1
Scarlet-rumped Trogon,scrtro1
Red-headed Trogon,rehtro1
Orange-breasted Trogon,orbtro2
Ward's Trogon,wartro1
Eurasian Hoopoe,hoopoe
Madagascar Hoopoe,madhoo1
Green Woodhoopoe,grewoo2
Violet Woodhoopoe,viowoo1
Black-billed Woodhoopoe,blbwoo2
White-headed Woodhoopoe,whhwoo1
Forest Woodhoopoe,forwoo1
Black Scimitarbill,blsbil1
Common Scimitarbill,cosbil1
Abyssinian Scimitarbill,absbil1
Abyssinian Ground-Hornbill,noghor1
Southern Ground-Hornbill,soghor1
Red-billed Dwarf Hornbill,rbdhor1
Crowned Hornbill,crohor1
Bradfield's Hornbill,brahor1
African Pied Hornbill,afphor1
Hemprich's Hornbill,hemhor1
African Gray Hornbill,afghor1
Pale-billed Hornbill,pabhor1
Eastern Yellow-billed Hornbill,eybhor1
Southern Yellow-billed Hornbill,sybhor1
Jackson's Hornbill,jachor1
Von der Decken's Hornbill,vddhor1
Monteiro's Hornbill,monhor1
Southern Red-billed Hornbill,srbhor1
Damara Red-billed Hornbill,drbhor1
Tanzanian Red-billed Hornbill,trbhor1
Western Red-billed Hornbill,wrbhor2
Northern Red-billed Hornbill,rebhor1
White-crowned Hornbill,whchor2
White-crested Hornbill,whchor3
Black Dwarf Hornbill,bldhor1
Black-casqued Hornbill,blchor1
Yellow-casqued Hornbill,yechor1
Silvery-cheeked Hornbill,sichor1
Black-and-white-casqued Hornbill,bawhor2
Brown-cheeked Hornbill,bnchor1
White-thighed Hornbill,whthor1
Trumpeter Hornbill,truhor1
Piping Hornbill,piphor1
Helmeted Hornbill,helhor1
Rufous Hornbill,rufhor1
Rhinoceros Hornbill,rhihor1
Great Hornbill,grehor1
Bushy-crested Hornbill,buchor1
Brown Hornbill,brnhor1
Rusty-cheeked Hornbill,ruchor1
Indian Gray Hornbill,inghor2
Malabar Gray Hornbill,maghor2
Sri Lanka Gray Hornbill,ceghor1
Black Hornbill,blahor1
Sulu Hornbill,sulhor2
Malabar Pied-Hornbill,maphor1
Oriental Pied-Hornbill,orphor1
Palawan Hornbill,palhor1
Rufous-necked Hornbill,runhor1
Knobbed Hornbill,knohor1
Sumba Hornbill,sumhor1
Wreathed Hornbill,wrehor1
Plain-pouched Hornbill,plphor1
Narcondam Hornbill,narhor1
Blyth's Hornbill,blyhor1
Sulawesi Hornbill,sulhor1
Wrinkled Hornbill,wrihor1
Writhe-billed Hornbill,wrbhor1
Writhed Hornbill,wrihor2
Visayan Hornbill,tarhor1
Luzon Hornbill,luzhor1
Mindoro Hornbill,minhor2
Samar Hornbill,samhor1
Mindanao Hornbill,minhor1
Cuban Tody,cubtod1
Broad-billed Tody,brbtod1
Narrow-billed Tody,nabtod1
Jamaican Tody,jamtod1
Puerto Rican Tody,purtod1
Tody Motmot,todmot1
Blue-throated Motmot,bltmot1
Russet-crowned Motmot,rucmot1
Blue-capped Motmot,bucmot1
Lesson's Motmot,bucmot2
Whooping Motmot,bucmot3
Trinidad Motmot,trimot1
Amazonian Motmot,bucmot4
Andean Motmot,higmot1
Rufous Motmot,rufmot1
Rufous-capped Motmot,rucmot2
Keel-billed Motmot,kebmot1
Broad-billed Motmot,brbmot1
Turquoise-browed Motmot,tubmot1
Blyth's Kingfisher,blykin1
Common Kingfisher,comkin1
Half-collared Kingfisher,hackin1
Shining-blue Kingfisher,shbkin1
Blue-eared Kingfisher,blekin1
Blue-banded Kingfisher,blbkin2
Small Blue Kingfisher,smbkin1
Azure Kingfisher,azukin1
Bismarck Kingfisher,biskin1
Indigo-banded Kingfisher,inbkin2
Northern Silvery-Kingfisher,norsik1
Southern Silvery-Kingfisher,silkin1
Little Kingfisher,litkin1
Black-backed Dwarf-Kingfisher,bkbkin1
Rufous-backed Dwarf-Kingfisher,rubkin1
Philippine Dwarf-Kingfisher,phikin1
Sulawesi Dwarf-Kingfisher,sulkin1
Dimorphic Dwarf-Kingfisher,vardwk1
Sula Dwarf-Kingfisher,vardwk2
North Moluccan Dwarf-Kingfisher,vardwk3
Seram Dwarf-Kingfisher,vardwk4
Buru Dwarf-Kingfisher,vardwk5
Papuan Dwarf-Kingfisher,vardwk6
Manus Dwarf-Kingfisher,vardwk7
New Ireland Dwarf-Kingfisher,vardwk8
New Britain Dwarf-Kingfisher,vardwk9
Bougainville Dwarf-Kingfisher,vardwk10
New Georgia Dwarf-Kingfisher,vardwk11
North Solomons Dwarf-Kingfisher,vardwk12
Malaita Dwarf-Kingfisher,vardwk13
Guadalcanal Dwarf-Kingfisher,vardwk14
Makira Dwarf-Kingfisher,vardwk15
Malachite Kingfisher,malkin1
Malagasy Kingfisher,malkin2
White-bellied Kingfisher,whbkin1
Madagascar Pygmy-Kingfisher,mapkin1
African Pygmy-Kingfisher,afpkin1
African Dwarf Kingfisher,dwakin1
Banded Kingfisher,bankin1
Laughing Kookaburra,laukoo1
Blue-winged Kookaburra,blwkoo1
Spangled Kookaburra,spakoo1
Rufous-bellied Kookaburra,rubkoo1
Shovel-billed Kookaburra,shbkoo1
Lilac-cheeked Kingfisher,lilkin1
Brown-winged Kingfisher,bnwkin1
Stork-billed Kingfisher,stbkin1
Great-billed Kingfisher,blbkin1
Ruddy Kingfisher,rudkin1
Chocolate-backed Kingfisher,chbkin2
White-throated Kingfisher,whtkin2
Brown-breasted Kingfisher,bnbkin1
Gray-headed Kingfisher,gyhkin1
Black-capped Kingfisher,blckin1
Javan Kingfisher,javkin1
Woodland Kingfisher,wookin1
Mangrove Kingfisher,mankin2
Blue-breasted Kingfisher,blbkin4
Brown-hooded Kingfisher,brhkin1
Striped Kingfisher,strkin1
Blue-black Kingfisher,blbkin3
Rufous-lored Kingfisher,rulkin1
Blue-and-white Kingfisher,bawkin1
Lazuli Kingfisher,lazkin1
Red-backed Kingfisher,rebkin2
Forest Kingfisher,forkin1
New Britain Kingfisher,nebkin1
Ultramarine Kingfisher,ultkin1
Vanuatu Kingfisher,chbkin1
Marquesas Kingfisher,markin2
Mewing Kingfisher,mankin1
